,Mean,Std,Min,Max
MAE_TO,32.98660368472872,17.611244152837823,10.204918032786885,91.6593886462882
MAE_IC,36.61687721660125,14.484696697607726,14.824561403508772,73.16017316017316
Acc_TO_20ms,71.80176702715518,11.212231667380214,55.61797752808989,91.39344262295081
Acc_IC_20ms,75.23712980585722,10.224764833059721,57.4585635359116,88.23529411764706
Acc_TO_50ms,84.94558303422782,7.270349102985782,72.92817679558011,94.26229508196721
Acc_IC_50ms,80.66324347775128,9.695601443966186,61.87845303867403,92.37668161434978
RMSE_TO,97.39162890684963,87.23961475391826,27.10785984864483,379.34268592190546
RMSE_IC,111.81302837607191,62.280019796461026,34.335803011158085,218.7174737722922
Precision_TO,0.5838121061875212,0.09647632167604597,0.375,0.7311827956989247
Precision_IC,0.6894148247439663,0.09269857910126869,0.524904214559387,0.8242677824267782
Recall_TO,0.7180176702715518,0.11212231667380212,0.5561797752808989,0.9139344262295082
Recall_IC,0.7523712980585721,0.1022476483305972,0.574585635359116,0.8823529411764706
F1_TO,0.641865977008074,0.09777589693503136,0.45323741007194246,0.8079207920792079
F1_IC,0.7189675715500445,0.09514930612602164,0.556910569105691,0.8436830835117773
