,Mean,Std,Min,Max
MAE_TO,23.84789091808983,9.858142436731354,9.511111111111111,47.28506787330317
MAE_IC,36.9440454432683,16.81322486730382,13.026315789473685,87.35930735930737
Acc_TO_20ms,81.41785604101658,8.180491314764115,66.52173913043478,93.36283185840708
Acc_IC_20ms,76.7999148757919,10.940143134722852,56.277056277056275,91.01123595505618
Acc_TO_50ms,91.3465641304097,4.689971440972835,80.43478260869566,96.90265486725664
Acc_IC_50ms,81.87486692746435,10.1546278006774,61.904761904761905,94.38202247191012
RMSE_TO,88.24707031538516,57.68273967613189,21.06668720360449,220.60488624938495
RMSE_IC,128.47765255624174,62.99427722969761,31.14059797282742,261.9160170741759
Precision_TO,0.7463574876297294,0.07626051092554553,0.6047430830039525,0.8865546218487395
Precision_IC,0.7524707661074538,0.10902658905488863,0.5508474576271186,0.9257142857142857
Recall_TO,0.814178560410166,0.08180491314764114,0.6652173913043479,0.9336283185840708
Recall_IC,0.767999148757919,0.1094014313472285,0.5627705627705628,0.9101123595505618
F1_TO,0.7780522229782384,0.07545053968900695,0.6335403726708074,0.9094827586206897
F1_IC,0.7600181035899904,0.10868477193526664,0.5567451820128478,0.9178470254957507
